,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 65,4039 (F33),340 (H31),223 (C34),4728 (A38),5926 (F38),694 (H35)
Qualification 66,4946 (D40),3641 (G36),6455 (F36),1922 (C39),6237 (B33),2062 (E35)
Qualification 67,2883 (F35),172 (F39),2994 (C36),558 (G31),2869 (G35),2202 (C35)
Qualification 68,4003 (C32),7530 (D36),7523 (D31),2619 (D34),4096 (B40),1091 (E31)
Qualification 69,6088 (G33),1729 (F34),3075 (G38),319 (B35),2075 (A40),4970 (C37)
Qualification 70,120 (B32),2673 (A32),862 (G34),6024 (E39),2638 (B31),4525 (F31)
Qualification 71,4946 (D40),3630 (G39),453 (B34),5125 (E36),694 (H35),7417 (D39)
Qualification 72,2614 (B39),1922 (C39),2883 (F35),4728 (A38),1885 (A36),3193 (G37)
Qualification 73,2702 (D33),5926 (F38),6016 (F37),2869 (G35),2619 (D34),1418 (G40)
Qualification 74,4680 (H33),4903 (B38),3990 (C31),4096 (B40),7530 (D36),4593 (E37)
Qualification 75,172 (F39),340 (H31),4541 (C38),4130 (A34),5740 (B36),176 (F40)
Qualification 76,7645 (D38),3414 (E40),558 (G31),2200 (E38),6455 (F36),7797 (D32)
Qualification 77,5724 (F32),1718 (E33),2202 (C35),1574 (E34),1506 (C40),4039 (F33)
Qualification 78,2994 (C36),6237 (B33),2957 (B37),7523 (D31),133 (D37),2062 (E35)
Qualification 79,3641 (G36),4003 (C32),1787 (G32),3550 (D35),2611 (E32),223 (C34)
Qualification 80,7491 (C33),172 (F39),2638 (B31),1091 (E31),453 (B34),1418 (G40)
Qualification 81,4728 (A38),176 (F40),4096 (B40),558 (G31),862 (G34),3075 (G38)
Qualification 82,1729 (F34),120 (B32),1718 (E33),3193 (G37),2869 (G35),2614 (B39)
Qualification 83,4903 (B38),2200 (E38),2075 (A40),2673 (A32),2619 (D34),4039 (F33)
Qualification 84,4525 (F31),2062 (E35),4970 (C37),1922 (C39),4593 (E37),5926 (F38)
Qualification 85,5740 (B36),6016 (F37),2994 (C36),1787 (G32),3990 (C31),223 (C34)
Qualification 86,319 (B35),6024 (E39),340 (H31),1091 (E31),7797 (D32),7523 (D31)
Qualification 87,133 (D37),3641 (G36),4680 (H33),7417 (D39),6455 (F36),5724 (F32)
Qualification 88,2611 (E32),1885 (A36),2202 (C35),3414 (E40),3550 (D35),4946 (D40)
Qualification 89,1506 (C40),3630 (G39),694 (H35),7645 (D38),4130 (A34),4003 (C32)
Qualification 90,2957 (B37),2883 (F35),7530 (D36),4541 (C38),1574 (E34),7491 (C33)
Qualification 91,862 (G34),6088 (G33),5125 (E36),2702 (D33),6237 (B33),1718 (E33)
Qualification 92,3193 (G37),2619 (D34),2200 (E38),133 (D37),453 (B34),4970 (C37)
Qualification 93,1091 (E31),223 (C34),172 (F39),3990 (C31),1729 (F34),3414 (E40)
Qualification 94,2062 (E35),4903 (B38),1787 (G32),120 (B32),7417 (D39),6024 (E39)
Qualification 95,4096 (B40),3075 (G38),3630 (G39),3641 (G36),5724 (F32),2883 (F35)
Qualification 96,2202 (C35),4541 (C38),319 (B35),6237 (B33),7645 (D38),7491 (C33)
Qualification 97,7797 (D32),4130 (A34),4039 (F33),2957 (B37),2702 (D33),1885 (A36)
Qualification 98,6016 (F37),4593 (E37),4946 (D40),7523 (D31),2673 (A32),176 (F40)
Qualification 99,5125 (E36),4728 (A38),1574 (E34),1506 (C40),4525 (F31),2994 (C36)
Qualification 100,5740 (B36),2075 (A40),2869 (G35),2638 (B31),4003 (C32),558 (G31)
Qualification 101,1418 (G40),2611 (E32),4680 (H33),694 (H35),1922 (C39),340 (H31)
Qualification 102,6455 (F36),5926 (F38),7530 (D36),2614 (B39),3550 (D35),6088 (G33)
Qualification 103,4096 (B40),6016 (F37),4970 (C37),1718 (E33),2957 (B37),172 (F39)
Qualification 104,2994 (C36),7523 (D31),453 (B34),3641 (G36),7645 (D38),4039 (F33)
Qualification 105,2702 (D33),1506 (C40),4728 (A38),4541 (C38),4946 (D40),4903 (B38)
Qualification 106,2611 (E32),694 (H35),3075 (G38),4525 (F31),7491 (C33),5740 (B36)
Qualification 107,3414 (E40),2075 (A40),120 (B32),5926 (F38),133 (D37),2883 (F35)
Qualification 108,1729 (F34),1885 (A36),4593 (E37),5724 (F32),1787 (G32),7530 (D36)
Qualification 109,4680 (H33),1922 (C39),1574 (E34),6237 (B33),7797 (D32),2869 (G35)
Qualification 110,4003 (C32),862 (G34),2062 (E35),340 (H31),2202 (C35),4130 (A34)
Qualification 111,2614 (B39),558 (G31),1091 (E31),3630 (G39),2673 (A32),6088 (G33)
Qualification 112,3550 (D35),7417 (D39),1418 (G40),319 (B35),5125 (E36),2200 (E38)
Qualification 113,3193 (G37),223 (C34),6455 (F36),176 (F40),3990 (C31),2638 (B31)
Qualification 114,2619 (D34),1729 (F34),6237 (B33),6024 (E39),3414 (E40),3075 (G38)
