Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1296,26.0,28.0,26,28,10,10,0,0,16,16,0.0,10.0,16.0,2,2.0,1
148,48.0,53.0,48,53,30,30,0,0,18,18,0.0,30.0,18.0,5,5.0,1
1745,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
1817,23.0,25.0,23,25,10,10,0,0,13,13,0.0,10.0,13.0,2,2.0,1
2283,7.0,9.0,7,9,0,0,0,0,7,7,0.0,0.0,7.0,2,2.0,1
2735,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2747,3.0,3.0,3,3,0,0,0,0,3,3,0.0,0.0,3.0,0,0.0,1
2805,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2848,46.0,46.0,46,46,30,30,0,0,16,16,0.0,30.0,16.0,0,0.0,1
2857,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
2864,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
2897,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
2943,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
2948,12.0,17.0,12,17,0,0,0,0,12,12,0.0,0.0,12.0,5,5.0,1
2950,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
2953,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
2965,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2995,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
3005,27.0,27.0,27,27,20,20,0,0,7,7,0.0,20.0,7.0,0,0.0,1
3037,38.0,38.0,38,38,30,30,0,0,8,8,0.0,30.0,8.0,0,0.0,1
3043,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3282,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3310,13.0,18.0,13,18,0,0,0,0,13,13,0.0,0.0,13.0,5,5.0,1
3350,10.46472751343179,13.54258854679408,17,22,0,0,0,0,17,9,0.0,0.0,10.46472751343179,5,3.0778610333622907,2
3355,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
3369,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3370,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3384,15.0,15.0,15,15,10,10,0,0,5,5,0.0,10.0,5.0,0,0.0,1
3392,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
3409,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
3413,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
3497,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
3507,23.0,28.0,23,28,10,10,0,0,13,13,0.0,10.0,13.0,5,5.0,1
3508,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3522,10.0,14.0,10,14,0,0,0,0,10,10,0.0,0.0,10.0,4,4.0,1
3529,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3626,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3666,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
3676,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3697,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
3730,3.0,5.0,3,5,0,0,0,0,3,3,0.0,0.0,3.0,2,2.0,1
3761,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
3791,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3795,18.0,18.0,18,18,10,10,0,0,8,8,0.0,10.0,8.0,0,0.0,1
3802,34.0,36.0,34,36,20,20,0,0,14,14,0.0,20.0,14.0,2,2.0,1
3819,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
3857,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3867,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
418,12.0,17.0,12,17,0,0,0,0,12,12,0.0,0.0,12.0,5,5.0,1
437,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
647,34.0,36.0,34,36,20,20,0,0,14,14,0.0,20.0,14.0,2,2.0,1
704,25.0,30.0,25,30,10,10,0,0,15,15,0.0,10.0,15.0,5,5.0,1
1086,16.62044958015637,17.851593993501286,27,29,0,0,8,8,19,10,4.924577653379665,0.0,11.695871926776706,2,1.2311444133449163,2
1089,36.0,36.0,36,36,10,10,10,10,16,16,10.0,10.0,16.0,0,0.0,1
1123,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
116,31.39418254029537,34.47204357365766,51,56,10,10,17,10,24,14,10.46472751343179,6.155722066724581,14.773732960138997,5,3.0778610333622907,2
1279,26.0,26.0,26,26,0,0,12,12,14,14,12.0,0.0,14.0,0,0.0,1
1418,22.160599440208493,22.160599440208493,36,36,0,0,11,9,25,14,6.771294273397039,0.0,15.389305166811454,0,0.0,2
1446,8.002438686741955,8.002438686741955,13,13,0,0,0,0,13,7,0.0,0.0,8.002438686741955,0,0.0,2
1511,26.0,26.0,26,26,10,10,4,4,12,12,4.0,10.0,12.0,0,0.0,1
1598,28.931893713605536,28.931893713605536,47,47,10,10,14,10,23,13,8.618010893414414,6.155722066724581,14.158160753466538,0,0.0,2
1708,35.0,35.0,35,35,20,20,3,3,12,12,3.0,20.0,12.0,0,0.0,1
1727,8.618010893414414,11.080299720104247,14,18,0,0,0,0,14,10,0.0,0.0,8.618010893414414,4,2.4622888266898326,2
1849,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
1872,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
1885,40.62776564038224,40.62776564038224,66,66,20,20,16,16,30,16,9.84915530675933,12.311444133449163,18.467166200173743,0,0.0,2
190,23.0,28.0,23,28,0,0,11,11,12,12,11.0,0.0,12.0,5,5.0,1
1915,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
2016,52.0,54.0,52,54,20,20,14,14,18,18,14.0,20.0,18.0,2,2.0,1
2077,25.0,25.0,25,25,0,0,11,11,14,14,11.0,0.0,14.0,0,0.0,1
2121,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2186,11.080299720104247,11.080299720104247,18,18,0,0,0,0,18,14,0.0,0.0,11.080299720104247,0,0.0,2
233,62.0,67.0,62,67,30,30,16,16,16,16,16.0,30.0,16.0,5,5.0,1
2377,33.24089916031274,36.31876019367503,54,59,30,30,6,5,18,10,3.693433240034749,18.467166200173743,11.080299720104247,5,3.0778610333622907,2
2421,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2534,25.0,25.0,25,25,0,0,15,15,10,10,15.0,0.0,10.0,0,0.0,1
2537,11.695871926776706,11.695871926776706,19,19,0,0,8,8,11,7,4.924577653379665,0.0,6.771294273397039,0,0.0,2
2590,39.0,39.0,39,39,10,10,13,13,16,16,13.0,10.0,16.0,0,0.0,1
2642,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2819,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2849,6.155722066724582,6.155722066724582,10,10,0,0,0,0,10,6,0.0,0.0,6.155722066724581,0,0.0,2
2900,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
2911,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2912,17.851593993501286,17.851593993501286,29,29,0,0,9,9,20,12,5.540149860052123,0.0,12.311444133449163,0,0.0,2
2914,10.46472751343179,10.46472751343179,17,17,0,0,0,0,17,9,0.0,0.0,10.46472751343179,0,0.0,2
293,23.0,28.0,23,28,0,0,9,9,14,14,9.0,0.0,14.0,5,5.0,1
2961,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2962,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1
2963,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2964,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3123,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3246,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3279,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3283,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3455,12.0,14.0,12,14,0,0,0,0,12,12,0.0,0.0,12.0,2,2.0,1
346,11.695871926776706,11.695871926776706,19,19,0,0,8,8,11,6,4.924577653379665,0.0,6.771294273397039,0,0.0,2
3504,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
3558,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
3594,3.0,5.0,3,5,0,0,0,0,3,3,0.0,0.0,3.0,2,2.0,1
378,37.0,39.0,37,39,10,10,13,13,14,14,13.0,10.0,14.0,2,2.0,1
433,2.0,9.0,2,9,0,0,0,0,2,2,0.0,0.0,2.0,7,7.0,1
449,28.0,28.0,28,28,0,0,12,12,16,16,12.0,0.0,16.0,0,0.0,1
53,9.233583100086873,9.233583100086873,15,15,0,0,0,0,15,8,0.0,0.0,9.233583100086872,0,0.0,2
56,17.0,17.0,17,17,0,0,5,5,12,12,5.0,0.0,12.0,0,0.0,1
578,21.0,21.0,21,21,0,0,9,9,12,12,9.0,0.0,12.0,0,0.0,1
