Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1482,17.23602178682883,17.23602178682883,28,28,0,0,7,7,21,12,4.309005446707207,0.0,12.927016340121622,0,0.0,2
1622,45.774640308614025,58.27930198232481,120.8,153.8,20.0,10,31.0,14,69.8,20,11.746803390455586,7.578582832551991,26.449254085606448,33.0,12.504661673710785,4
2122,97.23321774164205,102.91715486605604,256.6,271.6,104.0,30,63.8,16,88.8,22,24.17567923584085,39.40863072927036,33.64890777653084,15.0,5.683937124413993,4
2130,55.430181589927585,57.74749687378743,119.6,124.6,40.0,20,29.0,15,50.6,18,13.440428646387124,18.538522270878794,23.451230672661673,5.0,2.317315283859849,3
3011,22.160599440208493,22.160599440208493,36,36,0,0,11,11,25,16,6.771294273397039,0.0,15.389305166811454,0,0.0,2
3216,40.0,45.0,40,45,10,10,14,14,16,16,14.0,10.0,16.0,5,5.0,1
3250,56.005727132559215,65.4789556732492,147.8,172.8,30.0,20,43.2,15,74.6,21,16.3697389183123,11.367874248827986,28.268113965418923,25.0,9.47322854068999,4
359,92.30713890048324,96.09643031675924,243.6,253.6,102.0,30,60.0,16,81.6,21,22.735748497655972,38.650772446015154,30.920617956812123,10.0,3.7892914162759954,4
4010,27.055540712210608,32.7394778366246,71.4,86.4,0.0,0,17.0,10,54.4,16,6.441795407669193,0.0,20.613745304541414,15.0,5.683937124413993,4
4334,48.6302043271242,51.708065360486486,79,84,20,10,26,13,33,19,16.00487737348391,12.311444133449163,20.313882820191118,5,3.0778610333622907,2
4604,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
4627,37.169737153111974,41.80436772083168,80.2,90.2,20.0,20,25.0,15,35.2,21,11.586576419299245,9.269261135439397,16.31389959837334,10.0,4.634630567719698,3
4733,27.82386374159511,27.82386374159511,45.2,45.2,30.0,30,1.0,1,14.2,7,0.6155722066724582,18.467166200173743,8.741125334748906,0.0,0.0,2
4775,34.57434403518894,40.59936377322455,74.6,87.6,10.0,10,27.0,15,37.6,17,12.513502532843185,4.634630567719698,17.426210934626067,13.0,6.025019738035607,3
5015,24.0,24.0,24,24,0,0,11,11,13,13,11.0,0.0,13.0,0,0.0,1
5078,34.47204357365766,34.47204357365766,56,56,20,20,11,9,25,15,6.771294273397039,12.311444133449163,15.389305166811454,0,0.0,2
5118,27.700749300260618,27.700749300260618,45,45,10,10,9,5,26,15,5.540149860052123,6.155722066724581,16.00487737348391,0,0.0,2
5630,24.656234620268794,24.656234620268794,53.2,53.2,20.0,20,2.0,2,31.2,16,0.9269261135439396,9.269261135439397,14.460047371285457,0.0,0.0,3
5725,21.0,21.0,21,21,0,0,8,8,13,13,8.0,0.0,13.0,0,0.0,1
5787,32.00975474696782,32.00975474696782,52,52,0,0,22,12,30,15,13.542588546794079,0.0,18.467166200173743,0,0.0,2
6041,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
6106,36.42819626227682,43.380142113856365,78.6,93.6,10.0,10,25.6,13,43.0,19,11.864654253362428,4.634630567719698,19.928911441194703,15.0,6.951945851579547,3
6178,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
6188,29.0,29.0,29,29,0,0,12,12,17,17,12.0,0.0,17.0,0,0.0,1
6351,35.08761578033012,35.08761578033012,57,57,10,10,16,12,31,18,9.84915530675933,6.155722066724581,19.082738406846204,0,0.0,2
6364,24.62288826689833,30.778610333622908,40,50,0,0,20,11,20,10,12.311444133449163,0.0,12.311444133449163,10,6.155722066724581,2
6435,11.0,16.0,11,16,0,0,0,0,11,11,0.0,0.0,11.0,5,5.0,1
6679,41.0,41.0,41,41,10,10,13,13,18,18,13.0,10.0,18.0,0,0.0,1
6700,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
6701,14.0,14.0,14,14,0,0,6,6,8,8,6.0,0.0,8.0,0,0.0,1
6841,14.0,19.0,14,19,0,0,0,0,14,14,0.0,0.0,14.0,5,5.0,1
6979,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
7205,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
7246,5.0,10.0,5,10,0,0,0,0,5,5,0.0,0.0,5.0,5,5.0,1
7277,14.158160753466538,19.082738406846204,23.0,31.0,0.0,0,0.0,0,23.0,11,0.0,0.0,14.158160753466538,8.0,4.924577653379665,2
1319,26.4696048869157,29.547465920277993,43,48,0,0,12,12,31,18,7.386866480069498,0.0,19.082738406846204,5,3.0778610333622907,2
1369,32.58790617997356,32.58790617997356,86.0,86.0,30.0,30,9.0,8,47.0,14,3.410362274648396,11.367874248827986,17.809669656497178,0.0,0.0,4
141,77.45188023875781,81.73130488728206,271.48,286.48,84.0,30,76.61,33,110.87,51,21.856448154896256,23.964778031735875,31.630654052125674,15.0,4.279424648524263,6
2468,48.3513584716817,55.92994130423369,127.6,147.6,20.0,20,39.0,14,68.6,19,14.778236523476382,7.578582832551991,25.99453911565333,20.0,7.578582832551991,4
2556,42.73129383437561,45.04860911823546,92.2,97.2,30.0,30,16.0,16,46.2,22,7.415408908351517,13.903891703159093,21.411993222865007,5.0,2.317315283859849,3
2815,20.92945502686358,20.92945502686358,34,34,0,0,11,11,23,17,6.771294273397039,0.0,14.158160753466538,0,0.0,2
2973,17.23602178682883,17.23602178682883,28,28,0,0,0,0,28,15,0.0,0.0,17.23602178682883,0,0.0,2
3139,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3319,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
34,18.467166200173747,21.545027233536036,30,35,0,0,9,9,21,11,5.540149860052123,0.0,12.927016340121622,5,3.0778610333622907,2
342,50.61016579949909,50.61016579949909,109.19999999999999,109.19999999999999,30.0,20,26.799999999999997,15,52.4,17,12.42080992148879,13.903891703159093,24.285464174851217,0.0,0.0,3
3593,43.273707973871865,51.231219948051454,114.2,135.2,20.0,20,35.0,14,59.2,20,13.262519956965985,7.578582832551991,22.432605184353896,21.0,7.9575119741795906,4
3792,45.51207217500743,49.219776629183194,98.2,106.2,30.0,30,16.0,16,52.2,20,7.415408908351517,13.903891703159093,24.192771563496827,8.0,3.7077044541757584,3
3843,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3844,31.793565694557124,34.11088097841697,68.6,73.6,30.0,30,1.0,1,37.6,15,0.4634630567719698,13.903891703159093,17.426210934626067,5.0,2.317315283859849,3
3959,65.53367622755653,70.16830679527622,141.4,151.4,40.0,20,42.0,15,59.4,21,19.465448384422732,18.538522270878794,27.529705572255004,10.0,4.634630567719698,3
3966,24.007316060225868,27.08517709358816,39,44,0,0,9,9,30,17,5.540149860052123,0.0,18.467166200173743,5,3.0778610333622907,2
4087,47.39905991377928,50.47692094714157,77,82,10,10,28,14,39,20,17.23602178682883,6.155722066724581,24.007316060225868,5,3.0778610333622907,2
