Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1209,8.618010893414414,8.618010893414414,14,14,0,0,0,0,14,10,0.0,0.0,8.618010893414414,0,0.0,2
16,83.10224790078185,89.25796996750644,135,145,60,30,31,16,44,22,19.082738406846204,36.934332400347486,27.085177093588158,10,6.155722066724581,2
1706,24.0,24.0,24,24,0,0,10,10,14,14,10.0,0.0,14.0,0,0.0,1
1810,33.8564713669852,33.8564713669852,55,55,0,0,23,12,32,16,14.158160753466538,0.0,19.69831061351866,0,0.0,2
1939,25.854032680243243,35.08761578033012,42,57,10,10,14,10,18,10,8.618010893414414,6.155722066724581,11.080299720104247,15,9.233583100086872,2
1985,45.0,50.0,45,50,10,10,15,15,20,20,15.0,10.0,20.0,5,5.0,1
2333,19.69831061351866,19.69831061351866,32,32,10,10,4,4,18,12,2.4622888266898326,6.155722066724581,11.080299720104247,0,0.0,2
2352,27.08517709358816,30.16303812695045,44,49,20,20,6,5,18,10,3.693433240034749,12.311444133449163,11.080299720104247,5,3.0778610333622907,2
2359,11.695871926776706,14.773732960138997,19,24,0,0,7,7,12,10,4.309005446707207,0.0,7.386866480069498,5,3.0778610333622907,2
2388,24.007316060225868,24.007316060225868,39,39,0,0,11,11,28,16,6.771294273397039,0.0,17.23602178682883,0,0.0,2
2992,48.0,53.0,48,53,20,20,14,14,14,14,14.0,20.0,14.0,5,5.0,1
3160,22.160599440208493,31.39418254029537,36,51,0,0,10,10,26,14,6.155722066724581,0.0,16.00487737348391,15,9.233583100086872,2
3179,17.23602178682883,17.23602178682883,28,28,10,10,2,2,16,10,1.2311444133449163,6.155722066724581,9.84915530675933,0,0.0,2
3227,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3350,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3516,26.4696048869157,26.4696048869157,43,43,0,0,11,11,32,18,6.771294273397039,0.0,19.69831061351866,0,0.0,2
3593,37.54990460701995,37.54990460701995,61,61,10,10,24,13,27,14,14.773732960138997,6.155722066724581,16.62044958015637,0,0.0,2
3666,20.31388282019112,20.31388282019112,33,33,0,0,7,7,26,14,4.309005446707207,0.0,16.00487737348391,0,0.0,2
3783,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3784,12.311444133449164,12.311444133449164,20,20,0,0,0,0,20,10,0.0,0.0,12.311444133449163,0,0.0,2
3937,60.0,70.0,60,70,30,30,16,16,14,14,16.0,30.0,14.0,10,10.0,1
3961,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3991,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
4090,29.0,29.0,29,29,20,20,3,3,6,6,3.0,20.0,6.0,0,0.0,1
4092,28.0,33.0,28,33,0,0,12,12,16,16,12.0,0.0,16.0,5,5.0,1
418,35.0,48.0,35,48,10,10,15,15,10,10,15.0,10.0,10.0,13,13.0,1
4490,21.0,21.0,21,21,0,0,9,9,12,12,9.0,0.0,12.0,0,0.0,1
45,30.16303812695045,33.24089916031274,49,54,0,0,19,10,30,16,11.695871926776706,0.0,18.467166200173743,5,3.0778610333622907,2
4500,41.0,41.0,41,41,30,30,1,1,10,10,1.0,30.0,10.0,0,0.0,1
4522,74.15408908351516,76.47140436737502,160,165,60,30,44,15,56,20,20.39237449796667,27.807783406318187,25.95393117923031,5,2.317315283859849,3
4532,28.0,33.0,28,33,0,0,12,12,16,16,12.0,0.0,16.0,5,5.0,1
4535,16.0,16.0,16,16,0,0,6,6,10,10,6.0,0.0,10.0,0,0.0,1
4849,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
5006,8.618010893414414,16.62044958015637,14,27,0,0,0,0,14,8,0.0,0.0,8.618010893414414,13,8.002438686741955,2
5153,41.0,41.0,41,41,10,10,13,13,18,18,13.0,10.0,18.0,0,0.0,1
5178,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
5195,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
5259,10.0,15.0,10,15,0,0,0,0,10,10,0.0,0.0,10.0,5,5.0,1
832,20.0,20.0,20,20,0,0,8,8,12,12,8.0,0.0,12.0,0,0.0,1
1011,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
1013,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
1165,32.0,32.0,32,32,0,0,15,15,17,17,15.0,0.0,17.0,0,0.0,1
1212,31.0,31.0,31,31,0,0,15,15,16,16,15.0,0.0,16.0,0,0.0,1
1290,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
1492,30.0,30.0,30,30,0,0,14,14,16,16,14.0,0.0,16.0,0,0.0,1
1633,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
1726,45.0,45.0,45,45,20,20,11,11,14,14,11.0,20.0,14.0,0,0.0,1
1828,45.55234329376191,51.708065360486486,74,84,20,10,24,14,30,16,14.773732960138997,12.311444133449163,18.467166200173743,10,6.155722066724581,2
2375,36.31876019367503,36.31876019367503,59,59,10,10,21,11,28,16,12.927016340121622,6.155722066724581,17.23602178682883,0,0.0,2
2403,39.0,52.0,39,52,30,30,1,1,8,8,1.0,30.0,8.0,13,13.0,1
2449,27.0,27.0,27,27,10,10,7,7,10,10,7.0,10.0,10.0,0,0.0,1
2478,25.0,30.0,25,30,0,0,12,12,13,13,12.0,0.0,13.0,5,5.0,1
2486,66.0,76.0,66,76,30,30,16,16,20,20,16.0,30.0,20.0,10,10.0,1
2647,11.0,11.0,11,11,0,0,3,3,8,8,3.0,0.0,8.0,0,0.0,1
2662,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2840,35.0,40.0,35,40,10,10,13,13,12,12,13.0,10.0,12.0,5,5.0,1
3019,17.0,17.0,17,17,0,0,9,9,8,8,9.0,0.0,8.0,0,0.0,1
3133,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3187,22.0,22.0,22,22,0,0,9,9,13,13,9.0,0.0,13.0,0,0.0,1
3321,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3577,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3785,38.0,38.0,38,38,20,20,6,6,12,12,6.0,20.0,12.0,0,0.0,1
3853,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
3944,11.0,11.0,11,11,0,0,2,2,9,9,2.0,0.0,9.0,0,0.0,1
4018,3.0,3.0,3,3,0,0,0,0,3,3,0.0,0.0,3.0,0,0.0,1
4111,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
4126,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
4146,14.0,19.0,14,19,0,0,8,8,6,6,8.0,0.0,6.0,5,5.0,1
4183,32.62532695364028,38.78104902036487,53,63,0,0,29,15,24,14,17.851593993501286,0.0,14.773732960138997,10,6.155722066724581,2
4496,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
4565,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
4629,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
4841,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
4962,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
498,15.0,20.0,15,20,0,0,5,5,10,10,5.0,0.0,10.0,5,5.0,1
4985,24.0,32.0,24,32,10,10,4,4,10,10,4.0,10.0,10.0,8,8.0,1
5043,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
5059,10.0,15.0,10,15,0,0,0,0,10,10,0.0,0.0,10.0,5,5.0,1
5075,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
5200,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
5207,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
5218,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
60,46.0,46.0,46,46,20,20,11,11,15,15,11.0,20.0,15.0,0,0.0,1
698,27.0,37.0,27,37,0,0,12,12,15,15,12.0,0.0,15.0,10,10.0,1
812,38.0,38.0,38,38,10,10,13,13,15,15,13.0,10.0,15.0,0,0.0,1
842,60.0,65.0,60,65,30,30,16,16,14,14,16.0,30.0,14.0,5,5.0,1
991,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
996,2.0,7.0,2,7,0,0,0,0,2,2,0.0,0.0,2.0,5,5.0,1
1138,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
1148,8.618010893414414,8.618010893414414,14,14,0,0,0,0,14,8,0.0,0.0,8.618010893414414,0,0.0,2
1160,19.69831061351866,25.854032680243243,32,42,10,10,2,2,20,12,1.2311444133449163,6.155722066724581,12.311444133449163,10,6.155722066724581,2
1197,24.0,29.0,24,29,0,0,11,11,13,13,11.0,0.0,13.0,5,5.0,1
1438,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
1452,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
1515,19.0,19.0,19,19,0,0,6,6,13,13,6.0,0.0,13.0,0,0.0,1
1644,7.0,12.0,7,12,0,0,0,0,7,7,0.0,0.0,7.0,5,5.0,1
1661,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
1692,23.0,23.0,23,23,0,0,9,9,14,14,9.0,0.0,14.0,0,0.0,1
1717,60.0,65.0,60,65,30,30,14,14,16,16,14.0,30.0,16.0,5,5.0,1
1759,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
1836,19.082738406846204,19.082738406846204,31,31,0,0,8,8,23,12,4.924577653379665,0.0,14.158160753466538,0,0.0,2
207,24.0,29.0,24,29,0,0,12,12,12,12,12.0,0.0,12.0,5,5.0,1
2404,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2496,12.311444133449164,12.311444133449164,20,20,0,0,0,0,20,12,0.0,0.0,12.311444133449163,0,0.0,2
2576,8.0,18.0,8,18,0,0,0,0,8,8,0.0,0.0,8.0,10,10.0,1
2584,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2637,38.78104902036487,41.85891005372716,63,68,10,10,23,13,30,16,14.158160753466538,6.155722066724581,18.467166200173743,5,3.0778610333622907,2
294,72.02194818067761,78.17767024740219,117,127,50,30,29,15,38,22,17.851593993501286,30.778610333622908,23.39174385355341,10,6.155722066724581,2
