Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1482,39.0,39.0,39,39,10,10,13,13,16,16,13.0,10.0,16.0,0,0.0,1
1695,22.0,22.0,22,22,0,0,10,10,12,12,10.0,0.0,12.0,0,0.0,1
2013,49.4881458965645,51.3827916047025,130.6,135.6,50.0,30.0,16.0,15,64.6,21,6.062866266041593,18.94645708137998,24.47882254914293,5.0,1.8946457081379977,4
2130,52.569866449827934,55.64772748319022,85.4,90.4,30.0,30.0,16.0,16,39.4,19,9.84915530675933,18.467166200173743,24.25354494289485,5.0,3.0778610333622907,2
3145,26.0,31.0,26,31,0,0,11,11,15,15,11.0,0.0,15.0,5,5.0,1
3513,27.0,27.0,27,27,20,20,2,2,5,5,2.0,20.0,5.0,0,0.0,1
3562,40.69205638457895,52.27863280387819,87.8,112.8,30.0,30.0,12.0,11,45.8,16,5.561556681263638,13.903891703159093,21.226608000156215,25.0,11.586576419299245,3
4010,21.411993222865004,25.11969767704076,46.2,54.2,0.0,0,15.0,12,31.2,13,6.951945851579547,0.0,14.460047371285457,8.0,3.7077044541757584,3
4334,46.438998288551375,48.75631357241122,100.2,105.2,40.0,30.0,15.0,14,45.2,20,6.951945851579547,18.538522270878794,20.948530166093036,5.0,2.317315283859849,3
4497,17.0,17.0,17,17,0,0,5,5,12,12,5.0,0.0,12.0,0,0.0,1
4591,25.0,25.0,25,25,0,0,10,10,15,15,10.0,0.0,15.0,0,0.0,1
4604,15.0,15.0,15,15,0,0,7,7,8,8,7.0,0.0,8.0,0,0.0,1
4625,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
4627,27.700749300260618,36.93433240034749,45,60,10,10,13,13,22,18,8.002438686741955,6.155722066724581,13.542588546794079,15,9.233583100086872,2
4633,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
4634,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
