Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1197,24.62288826689833,24.62288826689833,40,40,10,10,4,4,26,21,2.4622888266898326,6.155722066724581,16.00487737348391,0,0.0,2
5785,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
6344,33.24089916031274,36.31876019367503,54,59,10,10,13,13,31,18,8.002438686741955,6.155722066724581,19.082738406846204,5,3.0778610333622907,2
4226,27.0,27.0,27,27,0,0,9,9,18,18,9.0,0.0,18.0,0,0.0,1
5597,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
5710,23.39174385355341,29.547465920277993,38,48,0,0,11,6,27,14,6.771294273397039,0.0,16.62044958015637,10,6.155722066724581,2
1619,83.71782010745432,89.8735421741789,136,146,60,30,32,16,44,22,19.69831061351866,36.934332400347486,27.085177093588158,10,6.155722066724581,2
223,25.0,25.0,25,25,0,0,12,12,13,13,12.0,0.0,13.0,0,0.0,1
6705,32.62532695364028,38.78104902036487,53,63,10,10,15,14,28,18,9.233583100086872,6.155722066724581,17.23602178682883,10,6.155722066724581,2
4139,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
7457,52.9392097738314,52.9392097738314,86,86,30,30,14,14,42,22,8.618010893414414,18.467166200173743,25.854032680243243,0,0.0,2
6317,21.0,21.0,21,21,0,0,9,9,12,12,9.0,0.0,12.0,0,0.0,1
4381,40.32128593916137,47.273231790740915,87,102,10,10,27,14,50,18,12.513502532843185,4.634630567719698,23.17315283859849,15,6.951945851579547,3
6232,19.0,19.0,19,19,0,0,8,8,11,11,8.0,0.0,11.0,0,0.0,1
6168,8.618010893414414,16.62044958015637,14,27,0,0,0,0,14,7,0.0,0.0,8.618010893414414,13,8.002438686741955,2
3152,3.0,3.0,3,3,0,0,0,0,3,3,0.0,0.0,3.0,0,0.0,1
4590,50.47692094714157,56.63264301386615,82,92,40,30,18,14,24,15,11.080299720104247,24.622888266898325,14.773732960138997,10,6.155722066724581,2
7885,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
3132,40.01219343370978,51.092493153814026,65,83,10,10,23,16,32,19,14.158160753466538,6.155722066724581,19.69831061351866,18,11.080299720104247,2
7523,25.0,33.0,25,33,0,0,9,9,16,16,9.0,0.0,16.0,8,8.0,1
6377,70.17523156066024,76.33095362738482,114,124,40,30,31,16,43,22,19.082738406846204,24.622888266898325,26.4696048869157,10,6.155722066724581,2
4506,46.0,46.0,46,46,10,10,15,15,21,21,15.0,10.0,21.0,0,0.0,1
2882,20.31388282019112,20.31388282019112,33,33,0,0,5,5,28,14,3.0778610333622907,0.0,17.23602178682883,0,0.0,2
86,53.55478198050386,53.55478198050386,87,87,20,10,29,15,38,19,17.851593993501286,12.311444133449163,23.39174385355341,0,0.0,2
6386,57.0,57.0,57,57,30,30,10,10,17,17,10.0,30.0,17.0,0,0.0,1
7707,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
7570,42.0,42.0,42,42,10,10,14,14,18,18,14.0,10.0,18.0,0,0.0,1
5250,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
2521,33.24089916031274,36.31876019367503,54,59,10,10,14,14,30,15,8.618010893414414,6.155722066724581,18.467166200173743,5,3.0778610333622907,2
3151,12.927016340121622,12.927016340121622,21,21,0,0,0,0,21,12,0.0,0.0,12.927016340121622,0,0.0,2
686,34.47204357365766,37.54990460701995,56,61,0,0,23,13,33,17,14.158160753466538,0.0,20.313882820191118,5,3.0778610333622907,2
5314,16.0,16.0,16,16,0,0,2,2,14,14,2.0,0.0,14.0,0,0.0,1
7539,21.545027233536036,26.4696048869157,35,43,0,0,7,7,28,14,4.309005446707207,0.0,17.23602178682883,8,4.924577653379665,2
59,33.8564713669852,33.8564713669852,55,55,10,10,12,12,33,17,7.386866480069498,6.155722066724581,20.313882820191118,0,0.0,2
4051,8.618010893414414,8.618010893414414,14,14,0,0,0,0,14,10,0.0,0.0,8.618010893414414,0,0.0,2
6889,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
7124,24.0,24.0,24,24,0,0,8,8,16,16,8.0,0.0,16.0,0,0.0,1
6672,42.0,47.0,42,47,10,10,13,13,19,19,13.0,10.0,19.0,5,5.0,1
5869,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
4328,29.547465920277993,29.547465920277993,48,48,10,10,13,11,25,15,8.002438686741955,6.155722066724581,15.389305166811454,0,0.0,2
1799,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
69,53.0,53.0,53,53,20,20,14,14,19,19,14.0,20.0,19.0,0,0.0,1
