Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
102,39.0,39.0,39,39,30,30,1,1,8,8,1.0,30.0,8.0,0,0.0,1
1027,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
1071,20.0,25.0,20,25,0,0,9,9,11,11,9.0,0.0,11.0,5,5.0,1
1073,26.0,26.0,26,26,0,0,15,15,11,11,15.0,0.0,11.0,0,0.0,1
1124,64.0,74.0,64,74,30,30,16,16,18,18,16.0,30.0,18.0,10,10.0,1
126,26.0,26.0,26,26,10,10,7,7,9,9,7.0,10.0,9.0,0,0.0,1
1501,50.0,55.0,50,55,20,20,14,14,16,16,14.0,20.0,16.0,5,5.0,1
1665,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
1699,11.0,13.0,11,13,0,0,0,0,11,11,0.0,0.0,11.0,2,2.0,1
173,37.54990460701995,37.54990460701995,61,61,30,20,10,5,21,12,6.155722066724581,18.467166200173743,12.927016340121622,0,0.0,2
1740,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
175,24.0,24.0,24,24,0,0,13,13,11,11,13.0,0.0,11.0,0,0.0,1
176,28.316321506933075,28.316321506933075,46,46,30,30,1,1,15,8,0.6155722066724582,18.467166200173743,9.233583100086872,0,0.0,2
177,31.0,31.0,31,31,10,10,12,12,9,9,12.0,10.0,9.0,0,0.0,1
178,16.0,16.0,16,16,0,0,4,4,12,12,4.0,0.0,12.0,0,0.0,1
1784,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
181,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
195,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
1991,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2064,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
2067,14.0,14.0,14,14,0,0,6,6,8,8,6.0,0.0,8.0,0,0.0,1
2168,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
2170,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
222,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
228,8.0,12.0,8,12,0,0,2,2,6,6,2.0,0.0,6.0,4,4.0,1
230,48.0,53.0,48,53,20,20,14,14,14,14,14.0,20.0,14.0,5,5.0,1
236,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
237,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
238,25.0,25.0,25,25,0,0,9,9,16,16,9.0,0.0,16.0,0,0.0,1
241,13.0,15.0,13,15,0,0,0,0,13,13,0.0,0.0,13.0,2,2.0,1
270,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
2791,36.0,36.0,36,36,10,10,12,12,14,14,12.0,10.0,14.0,0,0.0,1
2836,30.0,32.0,30,32,0,0,15,15,15,15,15.0,0.0,15.0,2,2.0,1
2862,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
303,25.0,30.0,25,30,0,0,11,11,14,14,11.0,0.0,14.0,5,5.0,1
3104,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
3125,16.0,23.0,16,23,0,0,0,0,16,16,0.0,0.0,16.0,7,7.0,1
3141,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3146,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
3182,5.0,7.0,5,7,0,0,0,0,5,5,0.0,0.0,5.0,2,2.0,1
335,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3412,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
383,59.0,64.0,59,64,30,30,16,16,13,13,16.0,30.0,13.0,5,5.0,1
40,26.0,26.0,26,26,10,10,10,10,6,6,10.0,10.0,6.0,0,0.0,1
533,16.0,16.0,16,16,0,0,8,8,8,8,8.0,0.0,8.0,0,0.0,1
558,21.0,26.0,21,26,0,0,11,11,10,10,11.0,0.0,10.0,5,5.0,1
571,12.0,14.0,12,14,0,0,0,0,12,12,0.0,0.0,12.0,2,2.0,1
61,31.0,31.0,31,31,20,20,3,3,8,8,3.0,20.0,8.0,0,0.0,1
663,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
694,28.0,28.0,28,28,0,0,13,13,15,15,13.0,0.0,15.0,0,0.0,1
714,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
716,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
809,8.618010893414414,8.618010893414414,14,14,0,0,0,0,14,10,0.0,0.0,8.618010893414414,0,0.0,2
839,33.0,33.0,33,33,10,10,10,10,13,13,10.0,10.0,13.0,0,0.0,1
95,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
999,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
1024,22.0,24.0,22,24,0,0,9,9,13,13,9.0,0.0,13.0,2,2.0,1
1111,26.0,33.0,26,33,0,0,10,10,16,16,10.0,0.0,16.0,7,7.0,1
1123,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
116,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
1370,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
1418,55.401498600521236,56.63264301386615,90,92,50,30,15,14,25,14,9.233583100086872,30.778610333622908,15.389305166811454,2,1.2311444133449163,2
1446,11.695871926776706,11.695871926776706,19,19,0,0,0,0,19,10,0.0,0.0,11.695871926776706,0,0.0,2
1529,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
1708,3.0,3.0,3,3,0,0,0,0,3,3,0.0,0.0,3.0,0,0.0,1
1712,8.0,13.0,8,13,0,0,0,0,8,8,0.0,0.0,8.0,5,5.0,1
1727,47.39905991377928,53.55478198050386,77,87,30,30,23,16,24,14,14.158160753466538,18.467166200173743,14.773732960138997,10,6.155722066724581,2
1829,12.927016340121622,12.927016340121622,21,21,0,0,5,5,16,10,3.0778610333622907,0.0,9.84915530675933,0,0.0,2
1849,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
1885,25.0,25.0,25,25,10,10,2,2,13,13,2.0,10.0,13.0,0,0.0,1
1900,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
1915,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
2010,20.0,20.0,20,20,0,0,11,11,9,9,11.0,0.0,9.0,0,0.0,1
2068,21.0,26.0,21,26,10,10,4,4,7,7,4.0,10.0,7.0,5,5.0,1
207,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
2121,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2363,19.082738406846204,23.39174385355341,31,38,0,0,8,8,23,14,4.924577653379665,0.0,14.158160753466538,7,4.309005446707207,2
2377,64.01950949393564,73.25309259402252,104,119,50,30,29,15,25,13,17.851593993501286,30.778610333622908,15.389305166811454,15,9.233583100086872,2
2421,14.0,19.0,14,19,0,0,0,0,14,14,0.0,0.0,14.0,5,5.0,1
2534,27.700749300260618,27.700749300260618,45,45,30,30,2,2,13,7,1.2311444133449163,18.467166200173743,8.002438686741955,0,0.0,2
2537,9.84915530675933,12.927016340121622,16,21,0,0,0,0,16,10,0.0,0.0,9.84915530675933,5,3.0778610333622907,2
2641,19.0,19.0,19,19,0,0,9,9,10,10,9.0,0.0,10.0,0,0.0,1
2819,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
2900,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
2911,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
2912,35.0,35.0,35,35,10,10,13,13,12,12,13.0,10.0,12.0,0,0.0,1
2913,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
2914,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
2961,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
2962,1.0,1.0,1,1,0,0,0,0,1,1,0.0,0.0,1.0,0,0.0,1
2963,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
2964,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3123,57.0,64.0,57,64,30,30,16,16,11,11,16.0,30.0,11.0,7,7.0,1
3150,3.0,3.0,3,3,0,0,0,0,3,3,0.0,0.0,3.0,0,0.0,1
3154,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3208,3.0,3.0,3,3,0,0,0,0,3,3,0.0,0.0,3.0,0,0.0,1
3246,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
3279,7.0,9.0,7,9,0,0,0,0,7,7,0.0,0.0,7.0,2,2.0,1
3283,22.0,22.0,22,22,0,0,10,10,12,12,10.0,0.0,12.0,0,0.0,1
3298,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
3340,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
3373,20.0,20.0,20,20,0,0,12,12,8,8,12.0,0.0,8.0,0,0.0,1
339,46.78348770710682,51.092493153814026,76,83,20,10,28,15,28,15,17.23602178682883,12.311444133449163,17.23602178682883,7,4.309005446707207,2
346,48.6302043271242,51.708065360486486,79,84,40,20,13,10,26,15,8.002438686741955,24.622888266898325,16.00487737348391,5,3.0778610333622907,2
449,27.0,27.0,27,27,10,10,13,13,4,4,13.0,10.0,4.0,0,0.0,1
45,25.0,25.0,25,25,0,0,12,12,13,13,12.0,0.0,13.0,0,0.0,1
48,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
611,20.92945502686358,20.92945502686358,34,34,10,10,6,6,18,13,3.693433240034749,6.155722066724581,11.080299720104247,0,0.0,2
612,19.082738406846204,20.31388282019112,31,33,0,0,11,6,20,11,6.771294273397039,0.0,12.311444133449163,2,1.2311444133449163,2
614,25.238460473570786,25.238460473570786,41,41,0,0,20,11,21,11,12.311444133449163,0.0,12.927016340121622,0,0.0,2
620,21.545027233536036,22.776171646880954,35,37,0,0,16,9,19,10,9.84915530675933,0.0,11.695871926776706,2,1.2311444133449163,2
623,10.0,15.0,10,15,0,0,0,0,10,10,0.0,0.0,10.0,5,5.0,1
701,18.0,18.0,18,18,0,0,8,8,10,10,8.0,0.0,10.0,0,0.0,1
768,44.93677108708945,46.16791550043436,73,75,20,10,29,15,24,17,17.851593993501286,12.311444133449163,14.773732960138997,2,1.2311444133449163,2
1,34.84315260811669,37.16046789197654,75.18,80.18,30.0,20,14.0,12,31.18,15,6.488482794807577,13.903891703159093,14.450778110150019,5.0,2.317315283859849,3
1023,31.11690963167005,35.75154019938975,67.14,77.14,30.0,30,13.809999999999999,13,23.33,14,6.400424814020902,13.903891703159093,10.812593114490054,10.0,4.634630567719698,3
1025,16.00487737348391,16.00487737348391,26,26,0,0,9,9,17,11,5.540149860052123,0.0,10.46472751343179,0,0.0,2
1189,7.386866480069498,9.84915530675933,12,16,0,0,0,0,12,8,0.0,0.0,7.386866480069498,4,2.4622888266898326,2
123,27.084781037753913,29.40209632161376,58.44,63.44,10.0,10,19.0,12,29.439999999999998,13,8.805798078667426,4.634630567719698,13.64435239136679,5.0,2.317315283859849,3
1502,12.927016340121622,12.927016340121622,21,21,0,0,0,0,21,11,0.0,0.0,12.927016340121622,0,0.0,2
1528,27.358224241249378,27.358224241249378,59.03,59.03,10.0,10,12.0,12,37.03,19,5.561556681263638,4.634630567719698,17.162036992266042,0.0,0.0,3
1701,6.77129427339704,6.77129427339704,11,11,0,0,0,0,11,6,0.0,0.0,6.771294273397039,0,0.0,2
1941,22.776171646880954,22.776171646880954,37,37,0,0,13,13,24,14,8.002438686741955,0.0,14.773732960138997,0,0.0,2
1998,9.233583100086873,9.233583100086873,15,15,0,0,0,0,15,8,0.0,0.0,9.233583100086872,0,0.0,2
201,42.754466987214215,42.754466987214215,92.25,92.25,20.0,20,32.07,15,40.18,19,14.863260230677072,9.269261135439397,18.621945621097748,0.0,0.0,3
2050,12.311444133449164,12.311444133449164,20,20,0,0,0,0,20,11,0.0,0.0,12.311444133449163,0,0.0,2
2137,30.412445785376658,30.412445785376658,65.62,65.62,13.7,10,18.85,13,33.07,16,8.736278620151632,6.349443877775986,15.326723287449042,0.0,0.0,3
2224,8.618010893414414,8.618010893414414,14,14,0,0,0,0,14,10,0.0,0.0,8.618010893414414,0,0.0,2
