Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1305,42.63860122302122,44.492453450109096,92,96,20,10,32,13,40,16,14.830817816703034,9.269261135439397,18.538522270878794,4,1.8538522270878792,3
1334,73.22716296997122,76.47140436737502,158,165,60,30,44,16,54,22,20.39237449796667,27.807783406318187,25.02700506568637,7,3.2442413974037887,3
1482,28.0,28.0,28,28,0,0,14,14,14,14,14.0,0.0,14.0,0,0.0,1
1691,31.0,31.0,31,31,20,20,2,2,9,9,2.0,20.0,9.0,0,0.0,1
1772,53.761714585548496,58.39634515326819,116,126,50,30,30,13,36,14,13.903891703159093,23.17315283859849,16.684670043790913,10,4.634630567719698,3
1870,24.0,24.0,24,24,10,10,6,6,8,8,6.0,10.0,8.0,0,0.0,1
216,56.46044210251233,57.21830038576753,149,151,50,20,41,15,58,18,15.536094806731581,18.94645708137998,21.977890214400773,2,0.7578582832551991,4
244,29.556473046952764,29.556473046952764,78,78,10,10,21,11,47,15,7.9575119741795906,3.7892914162759954,17.809669656497178,0,0.0,4
288,22.735748497655972,22.735748497655972,60,60,0,0,14,14,46,17,5.305007982786393,0.0,17.43074051486958,0,0.0,4
3278,18.0,20.0,18,20,0,0,8,8,10,10,8.0,0.0,10.0,2,2.0,1
3354,20.0,22.0,20,22,0,0,10,10,10,10,10.0,0.0,10.0,2,2.0,1
3527,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
4001,51.092493153814026,57.24821522053861,83,93,20,20,28,15,35,20,17.23602178682883,12.311444133449163,21.545027233536036,10,6.155722066724581,2
4205,28.931893713605536,28.931893713605536,47,47,10,10,11,11,26,14,6.771294273397039,6.155722066724581,16.00487737348391,0,0.0,2
4334,43.70562667374453,46.78348770710682,71,76,30,30,16,16,25,18,9.84915530675933,18.467166200173743,15.389305166811454,5,3.0778610333622907,2
4497,20.0,25.0,20,25,10,10,4,4,6,6,4.0,10.0,6.0,5,5.0,1
4591,26.0,26.0,26,26,15,15,0,0,11,11,0.0,15.0,11.0,0,0.0,1
4604,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
4606,24.0,24.0,24,24,0,0,12,12,12,12,12.0,0.0,12.0,0,0.0,1
4625,17.0,19.0,17,19,0,0,5,5,12,12,5.0,0.0,12.0,2,2.0,1
4627,21.0,21.0,21,21,0,0,9,9,12,12,9.0,0.0,12.0,0,0.0,1
4633,24.0,24.0,24,24,15,15,1,1,8,8,1.0,15.0,8.0,0,0.0,1
4634,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
4719,11.0,11.0,11,11,0,0,3,3,8,8,3.0,0.0,8.0,0,0.0,1
4720,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
4733,28.0,30.0,28,30,0,0,12,12,16,16,12.0,0.0,16.0,2,2.0,1
4751,24.0,24.0,24,24,0,0,10,10,14,14,10.0,0.0,14.0,0,0.0,1
4771,16.0,18.0,16,18,0,0,7,7,9,9,7.0,0.0,9.0,2,2.0,1
771,25.027005065686367,25.027005065686367,54,54,0,0,22,13,32,14,10.196187248983335,0.0,14.830817816703034,0,0.0,3
1421,68.32851494064286,71.40637597400514,111,116,50,30,31,16,30,18,19.082738406846204,30.778610333622908,18.467166200173743,5,3.0778610333622907,2
1477,69.72296205947832,77.30154489203031,184,204,50,30,58,16,76,24,21.977890214400773,18.94645708137998,28.798614763697564,20,7.578582832551991,4
16,48.66362096105683,49.590547074600764,105,107,30,20,35,15,40,18,16.22120698701894,13.903891703159093,18.538522270878794,2,0.9269261135439396,3
1723,9.84915530675933,9.84915530675933,16,16,0,0,0,0,16,10,0.0,0.0,9.84915530675933,0,0.0,2
1730,42.47448226039961,43.70562667374453,69,71,10,10,27,14,32,18,16.62044958015637,6.155722066724581,19.69831061351866,2,1.2311444133449163,2
1764,10.46472751343179,10.46472751343179,17,17,0,0,3,3,14,10,1.8467166200173746,0.0,8.618010893414414,0,0.0,2
1810,22.776171646880954,25.854032680243243,37,42,0,0,17,9,20,10,10.46472751343179,0.0,12.311444133449163,5,3.0778610333622907,2
1912,30.16303812695045,33.24089916031274,49,54,10,10,14,10,25,17,8.618010893414414,6.155722066724581,15.389305166811454,5,3.0778610333622907,2
1927,30.778610333622908,30.778610333622908,50,50,0,0,23,14,27,14,14.158160753466538,0.0,16.62044958015637,0,0.0,2
